name,date,passenger
우이신설선,201711,1181277
우이신설선,201712,1162590
우이신설선,201801,1115985
우이신설선,201802,1020053
우이신설선,201803,1315328
우이신설선,201804,1285479
우이신설선,201805,1362035
우이신설선,201806,1262314
우이신설선,201807,1259765
우이신설선,201808,1222945
우이신설선,201809,1249766
우이신설선,201810,1400225
우이신설선,201811,1366119
우이신설선,201812,1301315
우이신설선,201901,1263643
우이신설선,201902,1102109
우이신설선,201903,1402393
우이신설선,201904,1403115
우이신설선,201905,1469681
